Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
After-School Programs,Out of School Time,Lower East Side Prep,Manhattan,Chinese American Planning Council,(212) 505-6366,High School,"145 Stanton Street10002
(40.72059519128, -73.985750724901)",10002,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown                                                                  
After-School Programs,Teen Action Program,Lower East Side Preparatory School / AAFE,New York,Asian Americans for Equality,212.979.8381 ext.117,13 to 21,"145 Stanton Street 111 Norfolk Street10002
(40.721076261987, -73.987369289644)",10002,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown                                                                  
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Marta Valle Secondary School,Manhattan,"Grand Street Settlement, Inc.",(212) 505-6338,Middle School,"145 Stanton Street10002
(40.72059519128, -73.985750724901)",10002,40.720581,-73.985645,3,1,3001,1004323,1003540080,Chinatown                                                                  
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 20 ANNA SILVER SCHOOL,Manhattan,Henry Street Settlement,(212) 254-3100,Elementary,"166 Essex Street10002
(40.721180469692, -73.986817343955)",10002,40.72154,-73.986648,3,1,3001,1004325,1003550001,Chinatown                                                                  
"Family Support,NDA Programs", Housing,Project Home,New York,Refugee and Immigrant Services,(212) 674-9120,Adults,"189 Allen
Stree 10002
(40.722179529789, -73.989107223936)",10002,40.722133,-73.988964,3,1,3601,1005537,1004170001,Chinatown                                                                  
After-School Programs,Out of School Time,J.H.S. 190 RUSSELL SAGE SCHOOL,Queens,New York Junior Tennis League,(917) 526-9846,Middle School,"68 17 Austin Street11375
(40.72070726303, -73.846284296083)",11375,40.722707,-73.851699,6,29,71305,4075214,4031720002,Forest Hills                                                               
After-School Programs,Beacon,JHS 190,Queens,Queens Community House,718.830.5233,6 and up,"68 17 Austin Street11375
(40.72070726303, -73.846284296083)",11375,40.722707,-73.851699,6,29,71305,4075214,4031720002,Forest Hills                                                               
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 110 MONITOR SCHOOL,Brooklyn,North Brooklyn Development Corp,(718) 501-2861,OST,"124 Monitor Street11222
(40.723642548516, -73.942236256096)",11222,40.723897,-73.942312,1,33,591,3067144,3026880042,Greenpoint                                                                 
After-School Programs,Out of School Time,P.S. 110 MONITOR SCHOOL,Brooklyn,North Brooklyn Development Corp,(718) 501-2861,Elementary,"124 Monitor Street11222
(40.723642548516, -73.942236256096)",11222,40.723897,-73.942312,1,33,591,3067144,3026880042,Greenpoint                                                                 
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),The Door - A Center of Alternatives,New York,The Door - A Center of Alternatives,212.941.9090,High School,"121 6th Avenue10013
(40.723983997391, -74.004649680399)",10013,40.723903,-74.00469,2,3,37,1083493,1004777501,SoHo-TriBeCa-Civic Center-Little Italy                                     
"After-School Programs,Jobs & Internships,Youth Employment",Out-of-School Youth Employment (OSY),The Door - A Center of Alternatives,New York,The Door - A Center of Alternatives,212.941.9090,16 to 21,"121 Avenue
of the Americas 10013
(40.721242188776, -74.008889000227)",10013,40.723903,-74.00469,2,3,37,1083493,1004777501,SoHo-TriBeCa-Civic Center-Little Italy                                     
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,The Door,Manhattan,The Door - A Center of Alternatives,212-941-9090 ext. 3280,20-May,"121 6th Avenue10013
(40.723983997391, -74.004649680399)",10013,40.723903,-74.00469,2,3,37,1083493,1004777501,SoHo-TriBeCa-Civic Center-Little Italy                                     
After-School Programs,Out of School Time,The Door-Alternatives,Manhattan,The Door - A Center of Alternatives,(212) 941-9090,High School,"121 6th Avenue10013
(40.723983997391, -74.004649680399)",10013,40.723903,-74.00469,2,3,37,1083493,1004777501,SoHo-TriBeCa-Civic Center-Little Italy                                     
Runaway & Homeless Youth,Drop-In Center,The Door,Manhattan,The Door,212.453.0248,,"121 6th Avenue10013
(40.723983997391, -74.004649680399)",10013,40.723903,-74.00469,2,3,37,1083493,1004777501,SoHo-TriBeCa-Civic Center-Little Italy                                     
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,I.S.168 - Parsons School ,Queens,The Child Center of NY,718.458.4243 ext. 205,grades 6 to 8,"158 40 76th Road11366
(40.728164407262, -73.792268173937)",11366,40.724458,-73.810216,8,24,1257,4147847,4068260001,Kew Gardens Hills                                                          
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Intermediate School 168 - Parsons School,Queens,Queens Child Guidance Center,718.651.7770,High School,"158 40 76th Road11366
(40.728164407262, -73.792268173937)",11366,40.724458,-73.810216,8,24,1257,4147847,4068260001,Kew Gardens Hills                                                          
After-School Programs,Beacon,JHS 168,Queens,Child Center of New York ,718.820.0760,6 and up,"158 40 76th Road11366
(40.728164407262, -73.792268173937)",11366,40.724458,-73.810216,8,24,1257,4147847,4068260001,Kew Gardens Hills                                                          
After-School Programs,Out of School Time,P.S. 178 HOLLISWOOD SCHOOL,Queens,"Samuel Field YM & YWHA, Inc.",(718) 225-6750,Elementary,"189 10 RADNOR ROAD11423
(40.717222295672, -73.76714149998)",11423,40.724479,-73.777454,8,23,1277,4156558,4072770001,Jamaica Estates-Holliswood                                                 
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 178 HOLLISWOOD SCHOOL,Queens,"Samuel Field YM & YWHA, Inc.",(718) 225-6750,OST,"189 10 RADNOR ROAD11423
(40.717222295672, -73.76714149998)",11423,40.724479,-73.777454,8,23,1277,4156558,4072770001,Jamaica Estates-Holliswood                                                 
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 34 OLIVER H. PERRY SCHOOL,Brooklyn,School Settlement,(718) 599-9224,OST,"131 NORMAN AVENUE11222
(40.726143261064, -73.949669467641)",11222,40.726135,-73.949649,1,33,573,3065733,3026220028,Greenpoint                                                                 
After-School Programs,Out of School Time,P.S. 34 OLIVER H. PERRY SCHOOL,Brooklyn,School Settlement,(718) 599-9224,Elementary,"131 NORMAN AVENUE11222
(40.726143261064, -73.949669467641)",11222,40.726135,-73.949649,1,33,573,3065733,3026220028,Greenpoint                                                                 
After-School Programs,Out of School Time,Central Queens YM,Queens,Jewish Child Care Association,(718) 275-6489,High School,"67 09 108th Street11375
(40.72070726303, -73.846284296083)",11375,40.728702,-73.847414,6,29,741,4051865,4021760001,Forest Hills                                                               
After-School Programs,Teen Action Program,Central Queens YM & YWHA,Queens,Jewish Child Care Association,914.424.3406,13 to 21,"67 09 108th Street11375
(40.72070726303, -73.846284296083)",11375,40.728702,-73.847414,6,29,741,4051865,4021760001,Forest Hills                                                               
After-School Programs,Out of School Time,I.S. 73 I.S. 73 - THE FRANK SA,Queens,"Maspeth Town Hall, Inc.",(718) 335-6049,Middle School,"70 02 54 Avenue11378
(40.721453104977, -73.908543500682)",11378,40.729215,-73.893624,5,30,49302,4058611,4025030031,Maspeth                                                                    
"Family Support,NDA Programs",Fatherhood Initiative,Forestdale at Forest Hills Campus,Queens,"Forestdale, Inc",718.263.0740,16 to 24,"67 35 112 Street11375
(40.72070726303, -73.846284296083)",11375,40.729354,-73.842599,6,29,747,4441126,4022060006,Forest Hills                                                               
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 19 ASHER LEVY SCHOOL,Manhattan,Chinese American Planning Council,(212) 533-2670,Elementary,"185 1st Avenue10003
(40.72964016707, -73.983873833363)",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,East Village                                                               
After-School Programs,Out of School Time,P.S. 19 ASHER LEVY SCHOOL,Manhattan,Institute for Labor and the Community,(212) 505-3184,Elementary,"185 1st Avenue10009
(40.72964016707, -73.983873833363)",10003,40.729636,-73.983818,3,2,40,1006478,1004530034,East Village                                                               
After-School Programs,Out of School Time,Harvey Milk HS,Manhattan,"Hetrick-Martin Institute, Inc.",(212) 674-2400,High School,"2 Astor Place10003
(40.730049721308, -73.992789944984)",10003,40.730038,-73.992632,2,2,57,1080092,1005450026,West Village                                                               
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Hetrick Martin Institute ,Manhattan,Urban Justice Center,646.602.5633,20-May,"2 Astor Place10003
(40.730049721308, -73.992789944984)",10003,40.730038,-73.992632,2,2,57,1080092,1005450026,West Village                                                               
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Jewish Institute of Queens,Queens,Jewish Institute of Queens,(718) 426-9369,OST,"60 05 Woodhaven Blvd11373
(40.738710402563, -73.878351155182)",11373,40.731256,-73.871561,6,29,687,4072178,4030880001,Rego Park                                                                  
After-School Programs,Teen Action Program,Jewish Institute of Queens,Queens,Jewish Institute of Queens,718.426.9369 or 646.670.8952,13 to 21,"60 05 Woodhaven Boulevard11373
(40.738710402563, -73.878351155182)",11373,40.731256,-73.871561,6,29,687,4072178,4030880001,Rego Park                                                                  
After-School Programs,Out of School Time,Jewish Institute of Queens,Queens,Jewish Institute of Queens,(718) 426-9369,Elementary,"60 05 Woodhaven Boulevard11373
(40.738710402563, -73.878351155182)",11373,40.731256,-73.871561,6,29,687,4072178,4030880001,Rego Park                                                                  
After-School Programs,Out of School Time,Jewish Institute (QNS),Queens,Jewish Institute of Queens,(718) 426-9369,Middle School,"60 05 Woodhaven Boulevard11373
(40.738710402563, -73.878351155182)",11373,40.731256,-73.871561,6,29,687,4072178,4030880001,Rego Park                                                                  
"Family Support,NDA Programs", Housing,Rego Park Center,Queens,PS 015 PATRICK F. DALY (K015),(718) 592-5757,Adults,"93 29 Queens Boulevard11374
(40.726464917022, -73.861480847563)",11374,40.73147,-73.866044,6,29,71702,4050408,4020770050,Rego Park                                                                  
After-School Programs,Out of School Time,Lost Battalion Center,Queens,"Queens Community House, Inc",(718) 592-5757,Elem/MS/HS,"93 29 Queens Boulevard11374
(40.726464917022, -73.861480847563)",11374,40.73147,-73.866044,6,29,71702,4050408,4020770050,Rego Park                                                                  
After-School Programs,Out of School Time,J.H.S. 157 STEPHEN HALSEY SCHOOL,Queens,"Queens Community House, Inc",(718) 592-5757,High School,"102 01 64th Avenue11375
(40.72070726303, -73.846284296083)",11375,40.731841,-73.853328,6,29,721,4442846,4021260014,Forest Hills                                                               
